"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"","pracInstructions","html-button-response","10","142989","0.0-5.0-0.5","1223","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pracInstructions","html-button-response","11","145213","0.0-5.0-0.6","2224","pracInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","12","153927","0.0-6.0","8712","<div style= ""font-size: 24px; color: white"">
                        
                            <p>First, Please hold a credit card up to your screen.</p>
                            <p>Adjust this box until it matches the size of the credit card.</p>
                            <div id=""calibration-box"" style=""
                                width: 506px;
                                height: 319px;
                                border: 2px solid white;
                                background-color: rgba(255,255,255,0.2);
                                margin: 20px auto;
                                resize: both;
                                overflow: hidden;
                            ""></div>
                        </div>
                    ","0","151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","13","155323","0.0-7.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","14","155826","0.0-7.0-1.0","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","15","159264","0.0-7.0-2.0","3437","Confidence judgement (first response)","","","-1","-1","","","","left","56.75","56.75","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","16","160740","0.0-8.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","17","161243","0.0-8.0-1.0","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","18","165022","0.0-8.0-2.0","3778","Confidence judgement (first response)","","","-1","-1","","","","left","50.25","50.25","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","19","166414","0.0-9.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","20","166918","0.0-9.0-1.0","null","[Dot display: left=250, right=300, diff=50]","null","","-1","-1","250","300","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","21","170455","0.0-9.0-2.0","3537.100000023842","Confidence judgement (first response)","","","-1","-1","","","","right","52.25","50","52.25","true","19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","22","171769","0.0-10.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","23","172272","0.0-10.0-1.0","null","[Dot display: left=300, right=281, diff=19]","null","","-1","-1","300","281","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","24","174864","0.0-10.0-2.0","2591.5","Confidence judgement (first response)","","","-1","-1","","","","right","50.25","50","50.25","false","30","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","25","176233","0.0-11.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","26","176736","0.0-11.0-1.0","null","[Dot display: left=300, right=270, diff=30]","null","","-1","-1","300","270","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","27","179906","0.0-11.0-2.0","3169.600000023842","Confidence judgement (first response)","","","-1","-1","","","","left","68.25","68.25","50","true","29","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","28","181328","0.0-12.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","29","181831","0.0-12.0-1.0","null","[Dot display: left=300, right=271, diff=29]","null","","-1","-1","300","271","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","30","184354","0.0-12.0-2.0","2522.399999976158","Confidence judgement (first response)","","","-1","-1","","","","left","65.25","65.25","50","true","27","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","31","185819","0.0-13.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","32","186322","0.0-13.0-1.0","null","[Dot display: left=300, right=273, diff=27]","null","","-1","-1","300","273","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","33","188469","0.0-13.0-2.0","2145.899999976158","Confidence judgement (first response)","","","-1","-1","","","","left","89","89","50","true","26","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","34","189826","0.0-14.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","35","190330","0.0-14.0-1.0","null","[Dot display: left=300, right=274, diff=26]","null","","-1","-1","300","274","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","36","192480","0.0-14.0-2.0","2150","Confidence judgement (first response)","","","-1","-1","","","","left","83.5","83.5","50","true","24","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","37","193969","0.0-15.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","38","194472","0.0-15.0-1.0","null","[Dot display: left=300, right=276, diff=24]","null","","-1","-1","300","276","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","39","196753","0.0-15.0-2.0","2280.399999976158","Confidence judgement (first response)","","","-1","-1","","","","left","82.75","82.75","50","true","23","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","40","198124","0.0-16.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","41","198628","0.0-16.0-1.0","null","[Dot display: left=300, right=277, diff=23]","null","","-1","-1","300","277","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","42","201273","0.0-16.0-2.0","2644.5","Confidence judgement (first response)","","","-1","-1","","","","right","50","50","50","false","28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","43","202752","0.0-17.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","44","203254","0.0-17.0-1.0","null","[Dot display: left=300, right=272, diff=28]","null","","-1","-1","300","272","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","45","205514","0.0-17.0-2.0","2259","Confidence judgement (first response)","","","-1","-1","","","","left","60.75","60.75","50","true","27","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","46","206780","0.0-18.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","47","207283","0.0-18.0-1.0","null","[Dot display: left=273, right=300, diff=27]","null","","-1","-1","273","300","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","48","209327","0.0-18.0-2.0","2043","Confidence judgement (first response)","","","-1","-1","","","","right","57.5","50","57.5","true","26","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","49","210737","0.0-19.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","50","211240","0.0-19.0-1.0","null","[Dot display: left=300, right=274, diff=26]","null","","-1","-1","300","274","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","51","213465","0.0-19.0-2.0","2224.2999999523163","Confidence judgement (first response)","","","-1","-1","","","","left","75","75","50","true","25","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","52","214874","0.0-20.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","53","215377","0.0-20.0-1.0","null","[Dot display: left=275, right=300, diff=25]","null","","-1","-1","275","300","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","54","217706","0.0-20.0-2.0","2328.7999999523163","Confidence judgement (first response)","","","-1","-1","","","","left","53","53","50","false","29","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","55","219048","0.0-21.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","56","219550","0.0-21.0-1.0","null","[Dot display: left=300, right=271, diff=29]","null","","-1","-1","300","271","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","57","221741","0.0-21.0-2.0","2190.5","Confidence judgement (first response)","","","-1","-1","","","","left","53","53","50","true","28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","58","223128","0.0-22.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","59","223631","0.0-22.0-1.0","null","[Dot display: left=300, right=272, diff=28]","null","","-1","-1","300","272","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","60","226222","0.0-22.0-2.0","2590.5","Confidence judgement (first response)","","","-1","-1","","","","left","52.5","52.5","50","true","27","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","61","227673","0.0-23.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","62","228177","0.0-23.0-1.0","null","[Dot display: left=273, right=300, diff=27]","null","","-1","-1","273","300","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","63","230186","0.0-23.0-2.0","2008.3999999761581","Confidence judgement (first response)","","","-1","-1","","","","right","59.75","50","59.75","true","26","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","64","231520","0.0-24.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","65","232023","0.0-24.0-1.0","null","[Dot display: left=300, right=274, diff=26]","null","","-1","-1","300","274","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","66","234197","0.0-24.0-2.0","2173.8000000715256","Confidence judgement (first response)","","","-1","-1","","","","left","86.5","86.5","50","true","26","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","67","235565","0.0-25.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","68","236068","0.0-25.0-1.0","null","[Dot display: left=274, right=300, diff=26]","null","","-1","-1","274","300","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","69","238200","0.0-25.0-2.0","2131.100000023842","Confidence judgement (first response)","","","-1","-1","","","","left","81.5","81.5","50","false","28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","70","239516","0.0-26.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","71","240019","0.0-26.0-1.0","null","[Dot display: left=272, right=300, diff=28]","null","","-1","-1","272","300","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","72","242069","0.0-26.0-2.0","2044","Confidence judgement (first response)","","","-1","-1","","","","right","63.75","50","63.75","true","28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","73","243503","0.0-27.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","74","244006","0.0-27.0-1.0","null","[Dot display: left=272, right=300, diff=28]","null","","-1","-1","272","300","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","75","246191","0.0-27.0-2.0","2184.399999976158","Confidence judgement (first response)","","","-1","-1","","","","left","69.75","69.75","50","false","30","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","76","247602","0.0-28.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","77","248105","0.0-28.0-1.0","null","[Dot display: left=270, right=300, diff=30]","null","","-1","-1","270","300","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","78","250099","0.0-28.0-2.0","1993.3999999761581","Confidence judgement (first response)","","","-1","-1","","","","left","53.25","53.25","50","false","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","79","251332","0.0-29.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","80","251835","0.0-29.0-1.0","null","[Dot display: left=300, right=267, diff=33]","null","","-1","-1","300","267","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","81","253880","0.0-29.0-2.0","2044","Confidence judgement (first response)","","","-1","-1","","","","left","51","51","50","true","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","82","255247","0.0-30.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","83","255750","0.0-30.0-1.0","null","[Dot display: left=300, right=268, diff=32]","null","","-1","-1","300","268","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","84","258208","0.0-30.0-2.0","2456.899999976158","Confidence judgement (first response)","","","-1","-1","","","","left","51.75","51.75","50","true","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","85","259443","0.0-31.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","86","259946","0.0-31.0-1.0","null","[Dot display: left=300, right=268, diff=32]","null","","-1","-1","300","268","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","87","262124","0.0-31.0-2.0","2177","Confidence judgement (first response)","","","-1","-1","","","","right","50.75","50","50.75","false","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","88","265347","0.0-32.0-0.0","3223","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","89","270034","0.0-32.0-0.1","4686","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","90","271957","0.0-32.0-0.2","1922","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","91","274173","0.0-32.0-0.3","2216","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","92","275174","0.0-32.0-0.4","1000","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","93","280100","0.0-32.0-0.5","4925","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","94","281465","0.0-32.0-0.6","1365","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","95","285000","0.0-32.0-0.7","3534","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","96","290633","0.0-32.0-0.8","5633","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","97","292721","0.0-32.0-0.9","2087","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","98","294065","0.0-32.0-0.10","1343","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","99","303152","0.0-32.0-0.11","9087","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","100","304208","0.0-32.0-0.12","1056","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","block_message","html-button-response","101","307072","0.0-33.0","2861","block message","0","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","102","308392","0.0-34.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","103","308897","0.0-34.0-1.0","null","[Dot display: left=266, right=300, diff=34]","null","","-1","-1","266","300","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","104","311865","0.0-34.0-2.0","2967.100000023842","Confidence judgement (first response)","","","-1","-1","","","","left","67.75","67.75","50","false","37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","105","313859","0.0-34.0-3.0-0.0","1993","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","106","314661","0.0-34.0-3.0-1.0-0.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","107","316497","0.0-34.0-6.0","1834.8999999761581","Confidence judgment (second response)","","","-1","-1","","","","left","67.75","67.75","50","false","37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","108","316497","0.0-35.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","0","0","266","300","34","left","67.75","false","2967.100000023842","1","yes","right","left","67.75","true","false","1834.8999999761581","","","","","","",""
"","fixation","html-keyboard-response","109","317756","0.0-36.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","110","318259","0.0-36.0-1.0","null","[Dot display: left=263, right=300, diff=37]","null","","-1","-1","263","300","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","111","320683","0.0-36.0-2.0","2423.100000023842","Confidence judgement (first response)","","","-1","-1","","","","left","65","65","50","false","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","112","322485","0.0-36.0-5.0-0.0","1802","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","113","323287","0.0-36.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","114","326425","0.0-36.0-6.0","3138","Confidence judgment (second response)","","","-1","-1","","","","left","65","65","50","false","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","115","326426","0.0-37.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","1","1","263","300","37","left","65","false","2423.100000023842","3","yes","right","left","65","true","false","3138","","","","","","",""
"","fixation","html-keyboard-response","116","327833","0.0-38.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","117","328335","0.0-38.0-1.0","null","[Dot display: left=260, right=300, diff=40]","null","","-1","-1","260","300","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","118","332312","0.0-38.0-2.0","3976","Confidence judgement (first response)","","","-1","-1","","","","right","59.75","50","59.75","true","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","119","333670","0.0-38.0-4.0-0.0","1357","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","120","334471","0.0-38.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","121","337317","0.0-38.0-6.0","2845.100000023842","Confidence judgment (second response)","","","-1","-1","","","","right","65.25","50","65.25","true","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","122","337317","0.0-39.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","2","2","260","300","40","right","59.75","true","3976","2","yes","right","right","65.25","true","true","2845.100000023842","","","","","","",""
"","fixation","html-keyboard-response","123","338764","0.0-40.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","124","339267","0.0-40.0-1.0","null","[Dot display: left=300, right=260, diff=40]","null","","-1","-1","300","260","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","125","342717","0.0-40.0-2.0","3449.6999999284744","Confidence judgement (first response)","","","-1","-1","","","","left","74.75","74.75","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","126","344385","0.0-40.0-3.0-0.0","1668","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","127","345187","0.0-40.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","128","346577","0.0-40.0-6.0","1389.8999999761581","Confidence judgment (second response)","","","-1","-1","","","","left","74.75","74.75","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","129","346578","0.0-41.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","3","3","300","260","40","left","74.75","true","3449.6999999284744","1","yes","left","left","74.75","true","true","1389.8999999761581","","","","","","",""
"","fixation","html-keyboard-response","130","347884","0.0-42.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","131","348391","0.0-42.0-1.0","null","[Dot display: left=300, right=261, diff=39]","null","","-1","-1","300","261","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","132","351860","0.0-42.0-2.0","3468.2000000476837","Confidence judgement (first response)","","","-1","-1","","","","right","71","50","71","false","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","133","353155","0.0-42.0-3.0-0.0","1294","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","134","353957","0.0-42.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","135","355093","0.0-42.0-6.0","1135.8000000715256","Confidence judgment (second response)","","","-1","-1","","","","right","71","50","71","false","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","136","355094","0.0-43.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","4","4","300","261","39","right","71","false","3468.2000000476837","1","yes","left","right","71","true","false","1135.8000000715256","","","","","","",""
