"success","task","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response"
"","","html-button-response","12","158452","0.0-6.0","24","female","7014","<div style= ""font-size: 24px; color: white"">
                        
                            <p>First, Please hold a credit card up to your screen.</p>
                            <p>Adjust this box until it matches the size of the credit card.</p>
                            <div id=""calibration-box"" style=""
                                width: 506px;
                                height: 319px;
                                border: 2px solid white;
                                background-color: rgba(255,255,255,0.2);
                                margin: 20px auto;
                                resize: both;
                                overflow: hidden;
                            ""></div>
                        </div>
                    ","0","151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","13","158947","0.0-7.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","14","159463","0.0-7.0-1.0","24","female","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","15","164510","0.0-7.0-2.0","24","female","5039","Confidence judgement (first response)","","","-1","-1","","","","left","77","77","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","16","164825","0.0-8.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","17","165347","0.0-8.0-1.0","24","female","null","[Dot display: left=250, right=300, diff=50]","null","","-1","-1","250","300","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","18","170484","0.0-8.0-2.0","24","female","5134.299999982119","Confidence judgement (first response)","","","-1","-1","","","","right","70","50","70","true","19","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","19","170691","0.0-9.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","20","171207","0.0-9.0-1.0","24","female","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","21","173669","0.0-9.0-2.0","24","female","2458.4000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","75.25","75.25","50","true","19","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","22","174056","0.0-10.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","23","174573","0.0-10.0-1.0","24","female","null","[Dot display: left=281, right=300, diff=19]","null","","-1","-1","281","300","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","24","176653","0.0-10.0-2.0","24","female","2076.5","Confidence judgement (first response)","","","-1","-1","","","","left","76","76","50","false","30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","25","177016","0.0-11.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","26","177528","0.0-11.0-1.0","24","female","null","[Dot display: left=270, right=300, diff=30]","null","","-1","-1","270","300","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","27","181137","0.0-11.0-2.0","24","female","3605","Confidence judgement (first response)","","","-1","-1","","","","right","85.25","50","85.25","true","29","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","28","181551","0.0-12.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","29","182063","0.0-12.0-1.0","24","female","null","[Dot display: left=300, right=271, diff=29]","null","","-1","-1","300","271","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","30","184453","0.0-12.0-2.0","24","female","2387.5","Confidence judgement (first response)","","","-1","-1","","","","left","78.25","78.25","50","true","27","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","31","184677","0.0-13.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","32","185188","0.0-13.0-1.0","24","female","null","[Dot display: left=273, right=300, diff=27]","null","","-1","-1","273","300","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","33","188187","0.0-13.0-2.0","24","female","2994.699999988079","Confidence judgement (first response)","","","-1","-1","","","","left","84.25","84.25","50","false","33","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","34","188437","0.0-14.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","35","188949","0.0-14.0-1.0","24","female","null","[Dot display: left=267, right=300, diff=33]","null","","-1","-1","267","300","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","36","191004","0.0-14.0-2.0","24","female","2052.2999999821186","Confidence judgement (first response)","","","-1","-1","","","","right","85","50","85","true","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","37","191232","0.0-15.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","38","191748","0.0-15.0-1.0","24","female","null","[Dot display: left=300, right=268, diff=32]","null","","-1","-1","300","268","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","39","193369","0.0-15.0-2.0","24","female","1618.0999999940395","Confidence judgement (first response)","","","-1","-1","","","","right","89.5","50","89.5","false","37","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","40","193832","0.0-16.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","41","194344","0.0-16.0-1.0","24","female","null","[Dot display: left=263, right=300, diff=37]","null","","-1","-1","263","300","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","42","196672","0.0-16.0-2.0","24","female","2324.2000000178814","Confidence judgement (first response)","","","-1","-1","","","","right","53.25","50","53.25","true","36","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","43","197047","0.0-17.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","44","197563","0.0-17.0-1.0","24","female","null","[Dot display: left=300, right=264, diff=36]","null","","-1","-1","300","264","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","45","199585","0.0-17.0-2.0","24","female","2019.199999988079","Confidence judgement (first response)","","","-1","-1","","","","left","66.25","66.25","50","true","35","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","46","199871","0.0-18.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","47","200383","0.0-18.0-1.0","24","female","null","[Dot display: left=300, right=265, diff=35]","null","","-1","-1","300","265","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","48","202253","0.0-18.0-2.0","24","female","1866.5","Confidence judgement (first response)","","","-1","-1","","","","left","65","65","50","true","34","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","49","202692","0.0-19.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","50","203203","0.0-19.0-1.0","24","female","null","[Dot display: left=266, right=300, diff=34]","null","","-1","-1","266","300","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","51","205420","0.0-19.0-2.0","24","female","2213.5","Confidence judgement (first response)","","","-1","-1","","","","right","74.5","50","74.5","true","33","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","52","205777","0.0-20.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","53","206293","0.0-20.0-1.0","24","female","null","[Dot display: left=267, right=300, diff=33]","null","","-1","-1","267","300","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","54","207688","0.0-20.0-2.0","24","female","1391.5","Confidence judgement (first response)","","","-1","-1","","","","left","72.75","72.75","50","false","37","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","55","208048","0.0-21.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","56","208564","0.0-21.0-1.0","24","female","null","[Dot display: left=263, right=300, diff=37]","null","","-1","-1","263","300","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","57","210587","0.0-21.0-2.0","24","female","2020","Confidence judgement (first response)","","","-1","-1","","","","right","78","50","78","true","36","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","58","210892","0.0-22.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","59","211403","0.0-22.0-1.0","24","female","null","[Dot display: left=300, right=264, diff=36]","null","","-1","-1","300","264","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","60","213436","0.0-22.0-2.0","24","female","2031.5","Confidence judgement (first response)","","","-1","-1","","","","left","76.75","76.75","50","true","35","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","61","213817","0.0-23.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","62","214329","0.0-23.0-1.0","24","female","null","[Dot display: left=265, right=300, diff=35]","null","","-1","-1","265","300","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","63","216037","0.0-23.0-2.0","24","female","1705.199999988079","Confidence judgement (first response)","","","-1","-1","","","","left","65","65","50","false","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","64","216493","0.0-24.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","65","217009","0.0-24.0-1.0","24","female","null","[Dot display: left=262, right=300, diff=38]","null","","-1","-1","262","300","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","66","218722","0.0-24.0-2.0","24","female","1710.300000011921","Confidence judgement (first response)","","","-1","-1","","","","right","80.25","50","80.25","true","37","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","67","219042","0.0-25.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","68","219554","0.0-25.0-1.0","24","female","null","[Dot display: left=263, right=300, diff=37]","null","","-1","-1","263","300","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","69","221455","0.0-25.0-2.0","24","female","1898.300000011921","Confidence judgement (first response)","","","-1","-1","","","","left","71.5","71.5","50","false","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","70","221728","0.0-26.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","71","222243","0.0-26.0-1.0","24","female","null","[Dot display: left=260, right=300, diff=40]","null","","-1","-1","260","300","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","72","224705","0.0-26.0-2.0","24","female","2459","Confidence judgement (first response)","","","-1","-1","","","","right","67.75","50","67.75","true","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","73","225133","0.0-27.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","74","225643","0.0-27.0-1.0","24","female","null","[Dot display: left=300, right=260, diff=40]","null","","-1","-1","300","260","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","75","227522","0.0-27.0-2.0","24","female","1876","Confidence judgement (first response)","","","-1","-1","","","","left","88.25","88.25","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","76","227928","0.0-28.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","77","228439","0.0-28.0-1.0","24","female","null","[Dot display: left=261, right=300, diff=39]","null","","-1","-1","261","300","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","78","230288","0.0-28.0-2.0","24","female","1846.5","Confidence judgement (first response)","","","-1","-1","","","","right","76.75","50","76.75","true","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","79","230573","0.0-29.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","80","231083","0.0-29.0-1.0","24","female","null","[Dot display: left=262, right=300, diff=38]","null","","-1","-1","262","300","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","81","233372","0.0-29.0-2.0","24","female","2286.4000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","71.25","71.25","50","false","41","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","82","233673","0.0-30.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","83","234185","0.0-30.0-1.0","24","female","null","[Dot display: left=300, right=259, diff=41]","null","","-1","-1","300","259","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","84","235972","0.0-30.0-2.0","24","female","1784.300000011921","Confidence judgement (first response)","","","-1","-1","","","","left","68.75","68.75","50","true","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","85","236273","0.0-31.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","86","236784","0.0-31.0-1.0","24","female","null","[Dot display: left=260, right=300, diff=40]","null","","-1","-1","260","300","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","87","240168","0.0-31.0-2.0","24","female","3369.2000000178814","Confidence judgement (first response)","","","-1","-1","","","","left","70.25","70.25","50","false","43","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","88","245221","0.0-32.0-0.0","24","female","5046","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","89","251710","0.0-32.0-0.1","24","female","6483","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","90","254889","0.0-32.0-0.2","24","female","3175","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","91","256990","0.0-32.0-0.3","24","female","2099","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","92","259655","0.0-32.0-0.4","24","female","2664","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","93","262193","0.0-32.0-0.5","24","female","2536","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","94","263424","0.0-32.0-0.6","24","female","1229","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","95","265792","0.0-32.0-0.7","24","female","2365","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","96","272557","0.0-32.0-0.8","24","female","6763","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","97","275492","0.0-32.0-0.9","24","female","2932","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","98","276793","0.0-32.0-0.10","24","female","1298","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","99","282859","0.0-32.0-0.11","24","female","6064","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","100","283959","0.0-32.0-0.12","24","female","1098","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","block_message","html-button-response","101","286240","0.0-33.0","24","female","2279","block message","0","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","102","286749","0.0-34.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","103","287261","0.0-34.0-1.0","24","female","null","[Dot display: left=300, right=257, diff=43]","null","","-1","-1","300","257","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","104","291876","0.0-34.0-2.0","24","female","4611.799999982119","Confidence judgement (first response)","","","-1","-1","","","","left","77.5","77.5","50","true","42","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","105","295241","0.0-34.0-4.0-0.0","24","female","3363","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","106","296049","0.0-34.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","107","299877","0.0-34.0-6.0","24","female","3824","Confidence judgment (second response)","","","-1","-1","","","","left","98.75","98.75","50","true","41","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","108","299879","0.0-35.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","0","0","300","257","43","left","77.5","true","4611.799999982119","2","nan","left","left","98.75","true","true","3824","","","","","",""
"","fixation","html-keyboard-response","109","300330","0.0-36.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","110","300841","0.0-36.0-1.0","24","female","null","[Dot display: left=300, right=259, diff=41]","null","","-1","-1","300","259","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","111","304076","0.0-36.0-2.0","24","female","3231.5","Confidence judgement (first response)","","","-1","-1","","","","left","75.75","75.75","50","true","41","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","112","305726","0.0-36.0-4.0-0.0","24","female","1648","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","113","306534","0.0-36.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","114","308061","0.0-36.0-6.0","24","female","1522.9000000059605","Confidence judgment (second response)","","","-1","-1","","","","left","75.75","75.75","50","true","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","115","308065","0.0-37.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","1","1","300","259","41","left","75.75","true","3231.5","2","nan","left","left","75.75","true","true","1522.9000000059605","","","","","",""
"","fixation","html-keyboard-response","116","308320","0.0-38.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","117","308836","0.0-38.0-1.0","24","female","null","[Dot display: left=300, right=260, diff=40]","null","","-1","-1","300","260","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","118","311728","0.0-38.0-2.0","24","female","2888.5","Confidence judgement (first response)","","","-1","-1","","","","left","87.75","87.75","50","true","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","119","313012","0.0-38.0-3.0-0.0","24","female","1281","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","120","313819","0.0-38.0-3.0-1.0-0.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","121","316244","0.0-38.0-6.0","24","female","2421.5","Confidence judgment (second response)","","","-1","-1","","","","left","99.25","99.25","50","true","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","122","316248","0.0-39.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","2","2","300","260","40","left","87.75","true","2888.5","1","yes","left","left","99.25","true","true","2421.5","","","","","",""
"","fixation","html-keyboard-response","123","316589","0.0-40.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","124","317101","0.0-40.0-1.0","24","female","null","[Dot display: left=300, right=260, diff=40]","null","","-1","-1","300","260","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","125","319608","0.0-40.0-2.0","24","female","2505.0999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","74.5","74.5","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","126","320926","0.0-40.0-4.0-0.0","24","female","1317","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","127","321735","0.0-40.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","128","324461","0.0-40.0-6.0","24","female","2723.2000000178814","Confidence judgment (second response)","","","-1","-1","","","","left","98.75","98.75","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","129","324465","0.0-41.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","0","3","3","300","260","40","left","74.5","true","2505.0999999940395","2","yes","left","left","98.75","true","true","2723.2000000178814","","","","","",""
"","block_message","html-button-response","130","328078","0.0-42.0","24","female","3611","block message","0","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","131","328410","0.0-43.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","132","328922","0.0-43.0-1.0","24","female","null","[Dot display: left=300, right=261, diff=39]","null","","-1","-1","300","261","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
