"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response"
"null","[Dot display: left=280, right=300, diff=20]","null","numerosity","html-keyboard-response","32","282009","0.0-6.0-1.7","28","male","","-1","-1","280","300","20","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2763","Confidence judgement (first response)","","confidence_first","html-keyboard-response","33","284775","0.0-6.0-2.7","28","male","","-1","-1","","","","left","50.75","50.75","50","false","28","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","34","285044","0.0-6.0-0.8","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=272, right=300, diff=28]","null","numerosity","html-keyboard-response","35","285554","0.0-6.0-1.8","28","male","","-1","-1","272","300","28","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25528","Confidence judgement (first response)","","confidence_first","html-keyboard-response","36","311083","0.0-6.0-2.8","28","male","","-1","-1","","","","left","50.25","50.25","50","false","35","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","37","311496","0.0-6.0-0.9","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=265, diff=35]","null","numerosity","html-keyboard-response","38","312008","0.0-6.0-1.9","28","male","","-1","-1","300","265","35","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3001","Confidence judgement (first response)","","confidence_first","html-keyboard-response","39","315011","0.0-6.0-2.9","28","male","","-1","-1","","","","left","53","53","50","true","34","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","40","315501","0.0-6.0-0.10","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=266, right=300, diff=34]","null","numerosity","html-keyboard-response","41","316013","0.0-6.0-1.10","28","male","","-1","-1","266","300","34","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30132","Confidence judgement (first response)","","confidence_first","html-keyboard-response","42","346146","0.0-6.0-2.10","28","male","","-1","-1","","","","left","50.5","50.5","50","false","40","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","43","346542","0.0-6.0-0.11","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=260, diff=40]","null","numerosity","html-keyboard-response","44","347054","0.0-6.0-1.11","28","male","","-1","-1","300","260","40","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2135","Confidence judgement (first response)","","confidence_first","html-keyboard-response","45","349191","0.0-6.0-2.11","28","male","","-1","-1","","","","right","52.5","50","52.5","false","45","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","46","349584","0.0-6.0-0.12","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=255, right=300, diff=45]","null","numerosity","html-keyboard-response","47","350095","0.0-6.0-1.12","28","male","","-1","-1","255","300","45","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080","Confidence judgement (first response)","","confidence_first","html-keyboard-response","48","352177","0.0-6.0-2.12","28","male","","-1","-1","","","","right","55.25","50","55.25","true","44","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","49","352546","0.0-6.0-0.13","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=256, diff=44]","null","numerosity","html-keyboard-response","50","353058","0.0-6.0-1.13","28","male","","-1","-1","300","256","44","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2981","Confidence judgement (first response)","","confidence_first","html-keyboard-response","51","356041","0.0-6.0-2.13","28","male","","-1","-1","","","","left","51.25","51.25","50","true","43","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","52","356525","0.0-6.0-0.14","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=257, diff=43]","null","numerosity","html-keyboard-response","53","357038","0.0-6.0-1.14","28","male","","-1","-1","300","257","43","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2551","Confidence judgement (first response)","","confidence_first","html-keyboard-response","54","359591","0.0-6.0-2.14","28","male","","-1","-1","","","","left","57.25","57.25","50","true","42","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","55","359841","0.0-6.0-0.15","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=258, diff=42]","null","numerosity","html-keyboard-response","56","360352","0.0-6.0-1.15","28","male","","-1","-1","300","258","42","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1988","Confidence judgement (first response)","","confidence_first","html-keyboard-response","57","362342","0.0-6.0-2.15","28","male","","-1","-1","","","","right","52.75","50","52.75","false","46","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","58","362739","0.0-6.0-0.16","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=254, diff=46]","null","numerosity","html-keyboard-response","59","363251","0.0-6.0-1.16","28","male","","-1","-1","300","254","46","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1824","Confidence judgement (first response)","","confidence_first","html-keyboard-response","60","365076","0.0-6.0-2.16","28","male","","-1","-1","","","","right","52.75","50","52.75","false","49","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","61","365326","0.0-6.0-0.17","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=251, diff=49]","null","numerosity","html-keyboard-response","62","365836","0.0-6.0-1.17","28","male","","-1","-1","300","251","49","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2186","Confidence judgement (first response)","","confidence_first","html-keyboard-response","63","368024","0.0-6.0-2.17","28","male","","-1","-1","","","","right","52.25","50","52.25","false","53","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","64","368400","0.0-6.0-0.18","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=247, diff=53]","null","numerosity","html-keyboard-response","65","368912","0.0-6.0-1.18","28","male","","-1","-1","300","247","53","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1761","Confidence judgement (first response)","","confidence_first","html-keyboard-response","66","370675","0.0-6.0-2.18","28","male","","-1","-1","","","","right","51.25","50","51.25","false","57","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","67","371079","0.0-6.0-0.19","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=243, diff=57]","null","numerosity","html-keyboard-response","68","371591","0.0-6.0-1.19","28","male","","-1","-1","300","243","57","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1780.9999999999418","Confidence judgement (first response)","","confidence_first","html-keyboard-response","69","373374","0.0-6.0-2.19","28","male","","-1","-1","","","","right","53.5","50","53.5","false","61","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","70","373625","0.0-6.0-0.20","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=239, diff=61]","null","numerosity","html-keyboard-response","71","374136","0.0-6.0-1.20","28","male","","-1","-1","300","239","61","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1654","Confidence judgement (first response)","","confidence_first","html-keyboard-response","72","375791","0.0-6.0-2.20","28","male","","-1","-1","","","","right","53","50","53","false","65","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","73","376027","0.0-6.0-0.21","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=235, diff=65]","null","numerosity","html-keyboard-response","74","376536","0.0-6.0-1.21","28","male","","-1","-1","300","235","65","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2186","Confidence judgement (first response)","","confidence_first","html-keyboard-response","75","378723","0.0-6.0-2.21","28","male","","-1","-1","","","","right","52.75","50","52.75","false","69","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","76","379194","0.0-6.0-0.22","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=231, diff=69]","null","numerosity","html-keyboard-response","77","379704","0.0-6.0-1.22","28","male","","-1","-1","300","231","69","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3026","Confidence judgement (first response)","","confidence_first","html-keyboard-response","78","382732","0.0-6.0-2.22","28","male","","-1","-1","","","","right","53","50","53","false","72","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","79","382998","0.0-6.0-0.23","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=228, diff=72]","null","numerosity","html-keyboard-response","80","383509","0.0-6.0-1.23","28","male","","-1","-1","300","228","72","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4601","Confidence judgement (first response)","","confidence_first","html-keyboard-response","81","388112","0.0-6.0-2.23","28","male","","-1","-1","","","","right","54","50","54","false","76","","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","82","388570","0.0-6.0-0.24","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=224, right=300, diff=76]","null","numerosity","html-keyboard-response","83","389082","0.0-6.0-1.24","28","male","","-1","-1","224","300","76","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2346.999999999942","Confidence judgement (first response)","","confidence_first","html-keyboard-response","84","391432","0.0-6.0-2.24","28","male","","-1","-1","","","","right","75.75","50","75.75","true","75","","","","","","","","","","","","","","","","","","","","","",""
"10540","expInstruc","0","expInstructions","html-button-response","85","401974","0.0-7.0-0.0","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12632","expInstruc","0","expInstructions","html-button-response","86","414608","0.0-7.0-0.1","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5765","expInstruc","0","expInstructions","html-button-response","87","420373","0.0-7.0-0.2","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9191","expInstruc","0","expInstructions","html-button-response","88","429565","0.0-7.0-0.3","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4742","expInstruc","0","expInstructions","html-button-response","89","434307","0.0-7.0-0.4","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5683","expInstruc","0","expInstructions","html-button-response","90","439991","0.0-7.0-0.5","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4981","expInstruc","0","expInstructions","html-button-response","91","444973","0.0-7.0-0.6","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6583","expInstruc","0","expInstructions","html-button-response","92","451557","0.0-7.0-0.7","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7916","expInstruc","0","expInstructions","html-button-response","93","459473","0.0-7.0-0.8","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3117","expInstruc","0","expInstructions","html-button-response","94","462592","0.0-7.0-0.9","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7048","expInstruc","0","expInstructions","html-button-response","95","469640","0.0-7.0-0.10","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1066","expInstruc","0","expInstructions","html-button-response","96","470708","0.0-7.0-0.11","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7655","block message","0","block_message","html-button-response","97","478364","0.0-8.0","28","male","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","98","478843","0.0-9.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=225, diff=75]","null","numerosity","html-keyboard-response","99","479355","0.0-9.0-1.0","28","male","","-1","-1","300","225","75","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2201","Confidence judgement (first response)","","confidence_first","html-keyboard-response","100","481559","0.0-9.0-2.0","28","male","","-1","-1","","","","right","62","50","62","false","78","","","","","","","","","","","","","","","","","","","","","",""
"1477","forcedAdvice","0","forced_advice_display","html-button-response","101","483038","0.0-9.0-4.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[advice: left]","null","show_advice","html-keyboard-response","102","483840","0.0-9.0-4.0-1.0","28","male","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","",""
"13651","Confidence judgment (second response)","","confidence_second","html-keyboard-response","103","497495","0.0-9.0-6.0","28","male","","-1","-1","","","","left","50.2265625","50.2265625","50","true","78","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","104","497497","0.0-10.0","28","male","","","","","","","","","","","","","","","0","0","0","300","225","75","right","62","2","nan","left","left","50.2265625","true","","","","","",""
"8625","attncheck","1","attncheck","html-button-response","105","506122","0.0-11.0","28","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Continue","","","",""
"null","fixation","null","fixation","html-keyboard-response","106","506546","0.0-12.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=222, right=300, diff=78]","null","numerosity","html-keyboard-response","107","507055","0.0-12.0-1.0","28","male","","-1","-1","222","300","78","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2216","Confidence judgement (first response)","","confidence_first","html-keyboard-response","108","509272","0.0-12.0-2.0","28","male","","-1","-1","","","","right","65.25","50","65.25","true","77","","","","","","","","","","","","","","","","","","","","","",""
"2098","[advice choice Y,N]","0","advice_choice","html-button-response","109","511371","0.0-12.0-3.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[advice: right]","null","show_advice","html-keyboard-response","110","512174","0.0-12.0-3.0-1.0-0.0","28","male","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","",""
"3496.0000000001164","Confidence judgment (second response)","","confidence_second","html-keyboard-response","111","515672","0.0-12.0-6.0","28","male","","-1","-1","","","","right","92.5234375","50","92.5234375","true","76","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","112","515673","0.0-13.0","28","male","","","","","","","","","","","","","","","0","1","1","222","300","78","right","65.25","1","yes","right","right","92.5234375","true","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","113","515879","0.0-14.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=224, right=300, diff=76]","null","numerosity","html-keyboard-response","114","516391","0.0-14.0-1.0","28","male","","-1","-1","224","300","76","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2131","Confidence judgement (first response)","","confidence_first","html-keyboard-response","115","518524","0.0-14.0-2.0","28","male","","-1","-1","","","","right","67","50","67","true","76","","","","","","","","","","","","","","","","","","","","","",""
"1330","forcedAdvice","0","forced_advice_display","html-button-response","116","519855","0.0-14.0-4.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[advice: right]","null","show_advice","html-keyboard-response","117","520657","0.0-14.0-4.0-1.0","28","male","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","",""
"2630","Confidence judgment (second response)","","confidence_second","html-keyboard-response","118","523290","0.0-14.0-6.0","28","male","","-1","-1","","","","right","97.7734375","50","97.7734375","true","75","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","119","523291","0.0-15.0","28","male","","","","","","","","","","","","","","","0","2","2","224","300","76","right","67","2","yes","right","right","97.7734375","true","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","120","523770","0.0-16.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=225, right=300, diff=75]","null","numerosity","html-keyboard-response","121","524282","0.0-16.0-1.0","28","male","","-1","-1","225","300","75","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2705","Confidence judgement (first response)","","confidence_first","html-keyboard-response","122","526989","0.0-16.0-2.0","28","male","","-1","-1","","","","right","64.75","50","64.75","true","74","","","","","","","","","","","","","","","","","","","","","",""
"1031","noAdvice","0","no_advice_display","html-button-response","123","528022","0.0-16.0-5.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","blank","null","blank_screen","html-keyboard-response","124","528824","0.0-16.0-5.0-1.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1829","Confidence judgment (second response)","","confidence_second","html-keyboard-response","125","530655","0.0-16.0-6.0","28","male","","-1","-1","","","","right","64.75","50","64.75","true","74","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","126","530656","0.0-17.0","28","male","","","","","","","","","","","","","","","0","3","3","225","300","75","right","64.75","3","yes","right","right","64.75","true","","","","","",""
"2699","block message","0","block_message","html-button-response","127","533355","0.0-18.0","28","male","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","128","533810","0.0-19.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=300, right=226, diff=74]","null","numerosity","html-keyboard-response","129","534318","0.0-19.0-1.0","28","male","","-1","-1","300","226","74","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2519.0000000001164","Confidence judgement (first response)","","confidence_first","html-keyboard-response","130","536838","0.0-19.0-2.0","28","male","","-1","-1","","","","left","51.75","51.75","50","true","73","","","","","","","","","","","","","","","","","","","","","",""
"1132","forcedAdvice","0","forced_advice_display","html-button-response","131","537972","0.0-19.0-4.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[advice: left]","null","show_advice","html-keyboard-response","132","538773","0.0-19.0-4.0-1.0","28","male","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","",""
"1789.0000000001164","Confidence judgment (second response)","","confidence_second","html-keyboard-response","133","540565","0.0-19.0-6.0","28","male","","-1","-1","","","","left","52.7265625","52.7265625","50","true","73","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","134","540566","0.0-20.0","28","male","","","","","","","","","","","","","","","0","4","4","300","226","74","left","51.75","2","yes","left","left","52.7265625","true","","","","","",""
"null","fixation","null","fixation","html-keyboard-response","135","540868","0.0-21.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","[Dot display: left=227, right=300, diff=73]","null","numerosity","html-keyboard-response","136","541380","0.0-21.0-1.0","28","male","","-1","-1","227","300","73","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2749","Confidence judgement (first response)","","confidence_first","html-keyboard-response","137","544130","0.0-21.0-2.0","28","male","","-1","-1","","","","right","71.5","50","71.5","true","72","","","","","","","","","","","","","","","","","","","","","",""
"1231","noAdvice","0","no_advice_display","html-button-response","138","545362","0.0-21.0-5.0-0.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","blank","null","blank_screen","html-keyboard-response","139","546164","0.0-21.0-5.0-1.0","28","male","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405","Confidence judgment (second response)","","confidence_second","html-keyboard-response","140","547571","0.0-21.0-6.0","28","male","","-1","-1","","","","right","71.5","50","71.5","true","71","","","","","","","","","","","","","","","","","","","","","",""
"null","consolidated-trial-data","null","consolidated-trial-data","consolidated-trial-data","141","547573","0.0-22.0","28","male","","","","","","","","","","","","","","","0","5","5","227","300","73","right","71.5","3","yes","left","right","71.5","false","","","","","",""
