"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","advice_direction","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"","fixation","html-keyboard-response","49","149621","0.0-19.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","50","150129","0.0-19.0-1.0","null","[Dot display: left=300, right=264, diff=36]","null","","-1","-1","300","264","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","51","151554","0.0-19.0-2.0","1422.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","86.25","86.25","50","true","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","52","152973","0.0-20.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","53","153481","0.0-20.0-1.0","null","[Dot display: left=300, right=265, diff=35]","null","","-1","-1","300","265","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","54","154669","0.0-20.0-2.0","1184.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","80.5","80.5","50","true","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","55","155890","0.0-21.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","56","156398","0.0-21.0-1.0","null","[Dot display: left=267, right=300, diff=33]","null","","-1","-1","267","300","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","57","158619","0.0-21.0-2.0","2217.800000011921","Confidence judgement (first response)","","","-1","-1","","","","right","54.25","50","54.25","true","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","58","159924","0.0-22.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","59","160431","0.0-22.0-1.0","null","[Dot display: left=300, right=268, diff=32]","null","","-1","-1","300","268","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","60","161804","0.0-22.0-2.0","1371.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","92","92","50","true","30","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","61","163157","0.0-23.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","62","163665","0.0-23.0-1.0","null","[Dot display: left=300, right=270, diff=30]","null","","-1","-1","300","270","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","63","165002","0.0-23.0-2.0","1333.7999999970198","Confidence judgement (first response)","","","-1","-1","","","","left","67","67","50","true","28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","64","166499","0.0-24.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","65","167007","0.0-24.0-1.0","null","[Dot display: left=272, right=300, diff=28]","null","","-1","-1","272","300","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","66","168714","0.0-24.0-2.0","1703.7000000029802","Confidence judgement (first response)","","","-1","-1","","","","left","53.75","53.75","50","false","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","67","170097","0.0-25.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","68","170605","0.0-25.0-1.0","null","[Dot display: left=265, right=300, diff=35]","null","","-1","-1","265","300","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","69","171925","0.0-25.0-2.0","1317","Confidence judgement (first response)","","","-1","-1","","","","right","75","50","75","true","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","70","173246","0.0-26.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","71","173755","0.0-26.0-1.0","null","[Dot display: left=300, right=266, diff=34]","null","","-1","-1","300","266","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","72","175224","0.0-26.0-2.0","1465.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","53.25","53.25","50","true","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","73","176588","0.0-27.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","74","177096","0.0-27.0-1.0","null","[Dot display: left=267, right=300, diff=33]","null","","-1","-1","267","300","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","75","178766","0.0-27.0-2.0","1667.7000000029802","Confidence judgement (first response)","","","-1","-1","","","","right","67.5","50","67.5","true","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","76","180190","0.0-28.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","77","180698","0.0-28.0-1.0","null","[Dot display: left=267, right=300, diff=33]","null","","-1","-1","267","300","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","78","182083","0.0-28.0-2.0","1381.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","right","76.25","50","76.25","true","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","79","183325","0.0-29.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","80","183834","0.0-29.0-1.0","null","[Dot display: left=300, right=268, diff=32]","null","","-1","-1","300","268","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","81","186363","0.0-29.0-2.0","2526.2999999970198","Confidence judgement (first response)","","","-1","-1","","","","right","68.25","50","68.25","false","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","82","187827","0.0-30.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","83","188334","0.0-30.0-1.0","null","[Dot display: left=300, right=265, diff=35]","null","","-1","-1","300","265","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","84","189652","0.0-30.0-2.0","1315","Confidence judgement (first response)","","","-1","-1","","","","left","64","64","50","true","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","85","191113","0.0-31.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","86","191620","0.0-31.0-1.0","null","[Dot display: left=300, right=265, diff=35]","null","","-1","-1","300","265","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","87","192953","0.0-31.0-2.0","1330.1000000089407","Confidence judgement (first response)","","","-1","-1","","","","left","54.25","54.25","50","true","34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","88","222529","0.0-32.0-0.0","29572","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","89","222981","0.0-32.0-0.1","448","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","90","223385","0.0-32.0-0.2","402","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","91","223786","0.0-32.0-0.3","399","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","92","224284","0.0-32.0-0.4","496","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","93","224888","0.0-32.0-0.5","602","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","94","225388","0.0-32.0-0.6","498","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","95","225808","0.0-32.0-0.7","418","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","96","226307","0.0-32.0-0.8","496","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","97","226682","0.0-32.0-0.9","373","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","98","227120","0.0-32.0-0.10","435","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","99","227525","0.0-32.0-0.11","403","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","100","228336","0.0-32.0-0.12","809","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","block_message","html-button-response","101","234137","0.0-33.0","5798","block message","0","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","102","235636","0.0-34.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","103","236143","0.0-34.0-1.0","null","[Dot display: left=300, right=266, diff=34]","null","","-1","-1","300","266","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","104","237839","0.0-34.0-2.0","1693.2999999970198","Confidence judgement (first response)","","","-1","-1","","","","left","97.25","97.25","50","true","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","105","239073","0.0-34.0-3.0-0.0","1230","[advice choice Y,N]","1","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","106","239875","0.0-34.0-3.0-2.0-0.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","107","241085","0.0-34.0-6.0","1206.2999999970198","Confidence judgment (second response)","","","-1","-1","","","","left","97.25","97.25","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","108","241087","0.0-35.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","0","0","300","266","34","left","97.25","true","1693.2999999970198","1","no","none","left","97.25","nan","","1206.2999999970198","","","","","","","",""
"","fixation","html-keyboard-response","109","242516","0.0-36.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","110","243024","0.0-36.0-1.0","null","[Dot display: left=267, right=300, diff=33]","null","","-1","-1","267","300","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","111","244682","0.0-36.0-2.0","1654.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","88.75","88.75","50","false","36","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","112","245697","0.0-36.0-5.0-0.0","1013","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","113","246500","0.0-36.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","114","248241","0.0-36.0-6.0","1738.9000000059605","Confidence judgment (second response)","","","-1","-1","","","","left","83.75","83.75","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","115","248243","0.0-37.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","1","1","267","300","33","left","88.75","false","1654.5999999940395","3","no","none","left","83.75","nan","","1738.9000000059605","","","","","","","",""
"","fixation","html-keyboard-response","116","249452","0.0-38.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","117","249960","0.0-38.0-1.0","null","[Dot display: left=264, right=300, diff=36]","null","","-1","-1","264","300","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","118","251436","0.0-38.0-2.0","1473.1000000089407","Confidence judgement (first response)","","","-1","-1","","","","left","80.5","80.5","50","false","39","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","119","252801","0.0-38.0-3.0-0.0","1362","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","120","253605","0.0-38.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","121","255118","0.0-38.0-6.0","1511.7999999970198","Confidence judgment (second response)","","","-1","-1","","","","left","89.25","89.25","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","122","255121","0.0-39.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","2","2","264","300","36","left","80.5","false","1473.1000000089407","1","yes","left","left","89.25","false","","1511.7999999970198","","","","","","","",""
"","fixation","html-keyboard-response","123","256456","0.0-40.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","124","256964","0.0-40.0-1.0","null","[Dot display: left=261, right=300, diff=39]","null","","-1","-1","261","300","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","125","259130","0.0-40.0-2.0","2163.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","right","66.75","50","66.75","true","38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","126","260336","0.0-40.0-3.0-0.0","1203","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","127","261140","0.0-40.0-3.0-1.0-0.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","right","","","","","","",""
"","confidence_second","html-keyboard-response","128","263116","0.0-40.0-6.0","1973.7999999970198","Confidence judgment (second response)","","","-1","-1","","","","right","77.75","50","77.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","129","263118","0.0-41.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","3","3","261","300","39","right","66.75","true","2163.5999999940395","1","yes","right","right","77.75","true","","1973.7999999970198","","","","","","","",""
"","fixation","html-keyboard-response","130","264534","0.0-42.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","131","265042","0.0-42.0-1.0","null","[Dot display: left=262, right=300, diff=38]","null","","-1","-1","262","300","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","132","266137","0.0-42.0-2.0","1091.5","Confidence judgement (first response)","","","-1","-1","","","","right","76.75","50","76.75","true","37","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","133","267292","0.0-42.0-4.0-0.0","1153","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","134","268095","0.0-42.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","right","","","","","","",""
"","confidence_second","html-keyboard-response","135","269429","0.0-42.0-6.0","1332.199999988079","Confidence judgment (second response)","","","-1","-1","","","","right","82.25","50","82.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","136","269432","0.0-43.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","4","4","262","300","38","right","76.75","true","1091.5","2","yes","right","right","82.25","true","","1332.199999988079","","","","","","","",""
