"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","advice_direction","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"","numerosity","html-keyboard-response","20","120785","0.0-9.0-1.0","null","[Dot display: left=250, right=300, diff=50]","null","","-1","-1","250","300","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","21","123270","0.0-9.0-2.0","2483.5","Confidence judgement (first response)","","","-1","-1","","","","right","60.5","50","60.5","true","35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","22","124563","0.0-10.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","23","125070","0.0-10.0-1.0","null","[Dot display: left=265, right=300, diff=35]","null","","-1","-1","265","300","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","24","126888","0.0-10.0-2.0","1816","Confidence judgement (first response)","","","-1","-1","","","","right","61","50","61","true","31","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","25","128094","0.0-11.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","26","128600","0.0-11.0-1.0","null","[Dot display: left=300, right=269, diff=31]","null","","-1","-1","300","269","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","27","130722","0.0-11.0-2.0","2120","Confidence judgement (first response)","","","-1","-1","","","","left","55.25","55.25","50","true","27","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","28","132128","0.0-12.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","29","132634","0.0-12.0-1.0","null","[Dot display: left=300, right=273, diff=27]","null","","-1","-1","300","273","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","30","134571","0.0-12.0-2.0","1934.6000000089407","Confidence judgement (first response)","","","-1","-1","","","","left","59.75","59.75","50","true","23","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","31","135787","0.0-13.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","32","136292","0.0-13.0-1.0","null","[Dot display: left=300, right=277, diff=23]","null","","-1","-1","300","277","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","33","138088","0.0-13.0-2.0","1793.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","right","53.75","50","53.75","false","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","34","139494","0.0-14.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","35","139999","0.0-14.0-1.0","null","[Dot display: left=300, right=260, diff=40]","null","","-1","-1","300","260","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","36","141856","0.0-14.0-2.0","1854.7999999970198","Confidence judgement (first response)","","","-1","-1","","","","left","56.5","56.5","50","true","38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","37","143122","0.0-15.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","38","143627","0.0-15.0-1.0","null","[Dot display: left=262, right=300, diff=38]","null","","-1","-1","262","300","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","39","145422","0.0-15.0-2.0","1793.5","Confidence judgement (first response)","","","-1","-1","","","","left","53.25","53.25","50","false","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","40","146649","0.0-16.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","41","147157","0.0-16.0-1.0","null","[Dot display: left=300, right=254, diff=46]","null","","-1","-1","300","254","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","42","148522","0.0-16.0-2.0","1362.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","56","56","50","true","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","43","149840","0.0-17.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","44","150345","0.0-17.0-1.0","null","[Dot display: left=255, right=300, diff=45]","null","","-1","-1","255","300","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","45","151955","0.0-17.0-2.0","1608.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","right","55.5","50","55.5","true","44","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","46","153353","0.0-18.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","47","153857","0.0-18.0-1.0","null","[Dot display: left=300, right=256, diff=44]","null","","-1","-1","300","256","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","48","155539","0.0-18.0-2.0","1680.4000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","55.5","55.5","50","true","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","49","156763","0.0-19.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","50","157268","0.0-19.0-1.0","null","[Dot display: left=300, right=257, diff=43]","null","","-1","-1","300","257","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","51","159073","0.0-19.0-2.0","1802.6000000089407","Confidence judgement (first response)","","","-1","-1","","","","left","60","60","50","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","52","160398","0.0-20.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","53","160905","0.0-20.0-1.0","null","[Dot display: left=300, right=258, diff=42]","null","","-1","-1","300","258","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","54","162539","0.0-20.0-2.0","1632.7999999970198","Confidence judgement (first response)","","","-1","-1","","","","right","53.5","50","53.5","false","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","55","163965","0.0-21.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","56","164471","0.0-21.0-1.0","null","[Dot display: left=254, right=300, diff=46]","null","","-1","-1","254","300","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","57","166356","0.0-21.0-2.0","1883.3999999910593","Confidence judgement (first response)","","","-1","-1","","","","left","66.5","66.5","50","false","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","58","167682","0.0-22.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","59","168186","0.0-22.0-1.0","null","[Dot display: left=300, right=250, diff=50]","null","","-1","-1","300","250","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","60","170107","0.0-22.0-2.0","1919","Confidence judgement (first response)","","","-1","-1","","","","right","62.75","50","62.75","false","54","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","61","171321","0.0-23.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","62","171824","0.0-23.0-1.0","null","[Dot display: left=246, right=300, diff=54]","null","","-1","-1","246","300","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","63","173340","0.0-23.0-2.0","1513.8999999910593","Confidence judgement (first response)","","","-1","-1","","","","right","75","50","75","true","53","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","64","174811","0.0-24.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","65","175315","0.0-24.0-1.0","null","[Dot display: left=300, right=247, diff=53]","null","","-1","-1","300","247","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","66","176975","0.0-24.0-2.0","1657.3999999910593","Confidence judgement (first response)","","","-1","-1","","","","right","57.5","50","57.5","false","57","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","67","178216","0.0-25.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","68","178721","0.0-25.0-1.0","null","[Dot display: left=243, right=300, diff=57]","null","","-1","-1","243","300","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","69","180307","0.0-25.0-2.0","1584.6000000089407","Confidence judgement (first response)","","","-1","-1","","","","right","56.75","50","56.75","true","56","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","70","181735","0.0-26.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","71","182241","0.0-26.0-1.0","null","[Dot display: left=244, right=300, diff=56]","null","","-1","-1","244","300","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","72","183825","0.0-26.0-2.0","1581","Confidence judgement (first response)","","","-1","-1","","","","left","54.25","54.25","50","false","59","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","73","185323","0.0-27.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","74","185829","0.0-27.0-1.0","null","[Dot display: left=300, right=241, diff=59]","null","","-1","-1","300","241","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","75","187025","0.0-27.0-2.0","1194.2999999970198","Confidence judgement (first response)","","","-1","-1","","","","right","53.5","50","53.5","false","63","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","76","188357","0.0-28.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","77","188864","0.0-28.0-1.0","null","[Dot display: left=237, right=300, diff=63]","null","","-1","-1","237","300","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","78","190057","0.0-28.0-2.0","1191.5","Confidence judgement (first response)","","","-1","-1","","","","right","56","50","56","true","62","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","79","191455","0.0-29.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","80","191961","0.0-29.0-1.0","null","[Dot display: left=300, right=238, diff=62]","null","","-1","-1","300","238","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","81","193441","0.0-29.0-2.0","1478.699999988079","Confidence judgement (first response)","","","-1","-1","","","","left","54.75","54.75","50","true","61","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","82","194930","0.0-30.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","83","195435","0.0-30.0-1.0","null","[Dot display: left=300, right=239, diff=61]","null","","-1","-1","300","239","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","84","197358","0.0-30.0-2.0","1921.6000000089407","Confidence judgement (first response)","","","-1","-1","","","","left","57","57","50","true","61","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","85","198675","0.0-31.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","86","199181","0.0-31.0-1.0","null","[Dot display: left=239, right=300, diff=61]","null","","-1","-1","239","300","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","87","200691","0.0-31.0-2.0","1508","Confidence judgement (first response)","","","-1","-1","","","","right","58.75","50","58.75","true","60","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","88","204241","0.0-32.0-0.0","3549","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","89","209742","0.0-32.0-0.1","5499","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","90","213926","0.0-32.0-0.2","4183","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","91","215576","0.0-32.0-0.3","1648","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","92","217791","0.0-32.0-0.4","2215","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","93","221092","0.0-32.0-0.5","3299","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","94","223259","0.0-32.0-0.6","2165","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","95","229010","0.0-32.0-0.7","5750","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","96","234293","0.0-32.0-0.8","5281","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","97","237411","0.0-32.0-0.9","3116","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","98","238492","0.0-32.0-0.10","1080","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","99","241110","0.0-32.0-0.11","2616","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","expInstructions","html-button-response","100","241993","0.0-32.0-0.12","882","expInstruc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","block_message","html-button-response","101","246243","0.0-33.0","4248","block message","0","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","102","247589","0.0-34.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","103","248095","0.0-34.0-1.0","null","[Dot display: left=300, right=240, diff=60]","null","","-1","-1","300","240","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","104","250994","0.0-34.0-2.0","2896.1000000089407","Confidence judgement (first response)","","","-1","-1","","","","left","91.5","91.5","50","true","59","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","105","252844","0.0-34.0-5.0-0.0","1848","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","106","253647","0.0-34.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","107","256194","0.0-34.0-6.0","2544.7000000029802","Confidence judgment (second response)","","","-1","-1","","","","left","91.5","91.5","50","true","59","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","108","256196","0.0-35.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","0","0","300","240","60","left","91.5","true","2896.1000000089407","3","nan","none","left","91.5","nan","true","2544.7000000029802","","","","","","","",""
"","fixation","html-keyboard-response","109","257686","0.0-36.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","110","258192","0.0-36.0-1.0","null","[Dot display: left=241, right=300, diff=59]","null","","-1","-1","241","300","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","111","261044","0.0-36.0-2.0","2850.3999999910593","Confidence judgement (first response)","","","-1","-1","","","","right","60","50","60","true","59","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","112","264411","0.0-36.0-5.0-0.0","3366","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","113","265214","0.0-36.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","114","266678","0.0-36.0-6.0","1462","Confidence judgment (second response)","","","-1","-1","","","","right","60","50","60","true","59","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","115","266681","0.0-37.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","1","1","241","300","59","right","60","true","2850.3999999910593","3","nan","none","right","60","nan","true","1462","","","","","","","",""
"","fixation","html-keyboard-response","116","268049","0.0-38.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","117","268553","0.0-38.0-1.0","null","[Dot display: left=241, right=300, diff=59]","null","","-1","-1","241","300","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","118","270911","0.0-38.0-2.0","2356.3999999910593","Confidence judgement (first response)","","","-1","-1","","","","right","54","50","54","true","58","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","119","272577","0.0-38.0-3.0-0.0","1665","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","120","273380","0.0-38.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","121","277728","0.0-38.0-6.0","4345.399999991059","Confidence judgment (second response)","","","-1","-1","","","","left","53.25","53.25","50","false","58","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","122","277729","0.0-39.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","2","2","241","300","59","right","54","true","2356.3999999910593","1","yes","left","left","53.25","false","false","4345.399999991059","","","","","","","",""
"","fixation","html-keyboard-response","123","279185","0.0-40.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","124","279689","0.0-40.0-1.0","null","[Dot display: left=300, right=242, diff=58]","null","","-1","-1","300","242","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","125","281896","0.0-40.0-2.0","2204.5","Confidence judgement (first response)","","","-1","-1","","","","left","70.5","70.5","50","true","57","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","126","283079","0.0-40.0-3.0-0.0","1181","[advice choice Y,N]","1","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","127","283882","0.0-40.0-3.0-2.0-0.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","128","284962","0.0-40.0-6.0","1077.9000000059605","Confidence judgment (second response)","","","-1","-1","","","","left","70.5","70.5","50","true","57","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","129","284963","0.0-41.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","3","3","300","242","58","left","70.5","true","2204.5","1","no","left","left","70.5","true","true","1077.9000000059605","","","","","","","",""
"","fixation","html-keyboard-response","130","286270","0.0-42.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","131","286774","0.0-42.0-1.0","null","[Dot display: left=243, right=300, diff=57]","null","","-1","-1","243","300","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","132","289096","0.0-42.0-2.0","2319.7999999970198","Confidence judgement (first response)","","","-1","-1","","","","right","55","50","55","true","57","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","133","290263","0.0-42.0-4.0-0.0","1165","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","134","291066","0.0-42.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","right","","","","","","",""
"","confidence_second","html-keyboard-response","135","292262","0.0-42.0-6.0","1195.4000000059605","Confidence judgment (second response)","","","-1","-1","","","","right","55","50","55","true","57","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","136","292264","0.0-43.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","0","4","4","243","300","57","right","55","true","2319.7999999970198","2","no","right","right","55","true","true","1195.4000000059605","","","","","","","",""
